Station ID,Station Name,Province,Reported Station,Rainfall (mm),Date
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,10,"06 Aug, 2025"
41505,HUNZA,GB,HUNZA,0,"06 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,4,"06 Aug, 2025"
41598,JHELUM,Punjab,JHELUM,22,"06 Aug, 2025"
43534,Jammu,Kashmir,Jammu,28,"06 Aug, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,7,"06 Aug, 2025"
41675,MULTAN,Punjab,MULTAN,17,"06 Aug, 2025"
41573,MURREE,Punjab,MURREE,7,"06 Aug, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,6,"06 Aug, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,5,"06 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,5,"06 Aug, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,3,"06 Aug, 2025"
41517,SKARDU,GB,SKARDU,0,"06 Aug, 2025"
41535,Abbotabad,KPK,Abbotabad,8,"05 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,1,"05 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,0,"05 Aug, 2025"
43534,Jammu,Kashmir,Jammu,1,"05 Aug, 2025"
41780,KARACHI,Sindh,KARACHI,0,"05 Aug, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,5,"05 Aug, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,5,"05 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,0,"05 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,28,"04 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,13,"04 Aug, 2025"
41598,JHELUM,Punjab,JHELUM,1,"04 Aug, 2025"
41640,LAHORE,Punjab,LAHORE,41,"04 Aug, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,2,"04 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,22,"04 Aug, 2025"
41520,ASTORE,GB,ASTORE,2,"03 Aug, 2025"
41535,Abbotabad,KPK,Abbotabad,2,"03 Aug, 2025"
41567,Attock,Punjab,Attock,10,"03 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,6,"03 Aug, 2025"
41516,GILGIT,GB,GILGIT,1,"03 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,2,"03 Aug, 2025"
41598,JHELUM,Punjab,JHELUM,5,"03 Aug, 2025"
43535,Leh,Kashmir,Leh,1,"03 Aug, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,3,"03 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,4,"03 Aug, 2025"
41517,SKARDU,GB,SKARDU,5,"03 Aug, 2025"
43536,Srinagar,Kashmir,Srinagar,0,"03 Aug, 2025"
41535,Abbotabad,KPK,Abbotabad,37,"02 Aug, 2025"
41567,Attock,Punjab,Attock,1,"02 Aug, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,6,"02 Aug, 2025"
41508,DIR,KPK,DIR,9,"02 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,2,"02 Aug, 2025"
41516,GILGIT,GB,GILGIT,0,"02 Aug, 2025"
41505,HUNZA,GB,HUNZA,0,"02 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,40,"02 Aug, 2025"
41780,KARACHI,Sindh,KARACHI,0,"02 Aug, 2025"
41640,LAHORE,Punjab,LAHORE,0,"02 Aug, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,14,"02 Aug, 2025"
41573,MURREE,Punjab,MURREE,11,"02 Aug, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,35,"02 Aug, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,1,"02 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,25,"02 Aug, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,5,"02 Aug, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,5,"02 Aug, 2025"
43536,Srinagar,Kashmir,Srinagar,1,"02 Aug, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,4,"01 Aug, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,2,"01 Aug, 2025"
41508,DIR,KPK,DIR,22,"01 Aug, 2025"
41516,GILGIT,GB,GILGIT,0,"01 Aug, 2025"
41505,HUNZA,GB,HUNZA,0,"01 Aug, 2025"
43534,Jammu,Kashmir,Jammu,21,"01 Aug, 2025"
41640,LAHORE,Punjab,LAHORE,0,"01 Aug, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,2,"01 Aug, 2025"
41517,SKARDU,GB,SKARDU,0,"01 Aug, 2025"
41535,Abbotabad,KPK,Abbotabad,35,"31 Jul, 2025"
41562,BANNU,KPK,BANNU,38,"31 Jul, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,8,"31 Jul, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,23,"31 Jul, 2025"
41505,HUNZA,GB,HUNZA,0,"31 Jul, 2025"
41598,JHELUM,Punjab,JHELUM,0,"31 Jul, 2025"
43534,Jammu,Kashmir,Jammu,21,"31 Jul, 2025"
41780,KARACHI,Sindh,KARACHI,0,"31 Jul, 2025"
41640,LAHORE,Punjab,LAHORE,0,"31 Jul, 2025"
43535,Leh,Kashmir,Leh,1,"31 Jul, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,16,"31 Jul, 2025"
41573,MURREE,Punjab,MURREE,0,"31 Jul, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,4,"31 Jul, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,0,"31 Jul, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,2,"31 Jul, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,5,"31 Jul, 2025"
41593,SARGODHA,Punjab,SARGODHA,1,"31 Jul, 2025"
41517,SKARDU,GB,SKARDU,0,"31 Jul, 2025"
43536,Srinagar,Kashmir,Srinagar,3,"31 Jul, 2025"
41520,ASTORE,GB,ASTORE,0,"30 Jul, 2025"
41535,Abbotabad,KPK,Abbotabad,20,"30 Jul, 2025"
41567,Attock,Punjab,Attock,25,"30 Jul, 2025"
41562,BANNU,KPK,BANNU,12,"30 Jul, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,0,"30 Jul, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,23,"30 Jul, 2025"
41516,GILGIT,GB,GILGIT,0,"30 Jul, 2025"
41505,HUNZA,GB,HUNZA,0,"30 Jul, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,52,"30 Jul, 2025"
41598,JHELUM,Punjab,JHELUM,83,"30 Jul, 2025"
43534,Jammu,Kashmir,Jammu,7,"30 Jul, 2025"
41640,LAHORE,Punjab,LAHORE,0,"30 Jul, 2025"
43535,Leh,Kashmir,Leh,1,"30 Jul, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,6,"30 Jul, 2025"
41573,MURREE,Punjab,MURREE,7,"30 Jul, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,14,"30 Jul, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,0,"30 Jul, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,4,"30 Jul, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,12,"30 Jul, 2025"
41593,SARGODHA,Punjab,SARGODHA,0,"30 Jul, 2025"
43536,Srinagar,Kashmir,Srinagar,3,"30 Jul, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,25,"29 Jul, 2025"
41598,JHELUM,Punjab,JHELUM,5,"29 Jul, 2025"
